Descrição;Qtd Entr;Vlr Entr;Qtd Saídas;Vlr Saídas;R$ Atual
AMENDOIM ACUCARADO ARTE PAO KG;0;0;7,19;287;39,9
BAGUETE FRANCESA ARTE PAO KG;10;127,55;93,918;2.338,34;24,9
BAURU  FRANGO ARTE PAO KG;30;637,74;19,874;852,62;42,9
BAURU PRESUNTO ARTE PAO KG;30;478,3;22,85;980,24;42,9
BISCOITO CASEIRO COCO ARTE PAO KG;10;127,55;6,183;184,78;29,9
BISCOITO CASEIRO LIMAO ARTE PAO KG;10;127,55;1,842;55,04;29,9
BISCOITO OLHO DE BOI ARTE PAO KG;10;127,55;0;0;29,9
BISCOITO PETIT FOUR ARTE PAO GEZ KG;10;159,44;3,67;120,75;32,9
BISNAGUINHA ARTE PAO KG;10;159,44;12,731;444,4;34,9
BOLO ABACAXI ARTE PAO KG;10;127,55;6,73;234,87;34,9
BOLO AIPIM ARTE PAO KG;10;127,55;9,986;349,51;34,99
BOLO AMENDOIM ARTE PAO KG;10;127,55;0;0;34,9
BOLO BANANA ARTE PAO KG;20;255,1;7,944;277,24;34,9
BOLO BANANA C/CALDA  ARTE PAO KG;10;127,55;6,998;244,22;34,9
BOLO BROA MINEIRA ARTE PAO KG;10;127,55;0;0;24,99
BOLO CENOURA  ARTE PAO KG;20;255,1;4,198;104,95;24,99
BOLO CENOURA COM CHOCOLATE ARTE;0;0;32,315;1.063,18;32,9
BOLO CHOCOLATE ARTE PAO KG;10;127,55;0;0;24,99
BOLO CHOCOLATE C/BOMBOM ARTE PAO;25;318,87;0;0;32,9
BOLO CHOCOLATE C/COBERTURA  ARTE;10;127,55;26,674;877,6;32,9
BOLO CHOCOLATE C/COCO ARTE PAO KG;10;127,55;0;0;24,99
BOLO CHOCOLATE C/LEITE CONDENSADO;10;127,55;0;0;24,99
BOLO CHOCOLATE C/LEITINHO ARTE PAO;10;127,55;0;0;32,9
BOLO CHOCOLATE RECHEADO ARTE PAO;10;159,44;0;0;32,9
BOLO CHOCOLATE/PUDIM  ARTE PAO KG;10;159,44;0;0;39,9
BOLO CONF MASSA BRANCA C/AMENDOIM;10;212,58;0;0;54,99
BOLO CONF MASSA BRANCA C/BEIJINHO;10;212,58;0;0;54,99
BOLO CONF MASSA BRANCA C/BOMBOM;10;212,58;2,95;162,22;54,99
BOLO CONF MASSA BRANCA C/BRIGADEIRO;10;212,58;0;0;54,99
BOLO CONF MASSA BRANCA C/CHOC E;10;212,58;0,784;43,11;54,99
BOLO CONF MASSA BRANCA C/CHOCOLATE;10;212,58;1,538;84,57;54,99
BOLO CONF MASSA BRANCA C/LEITINHO;10;212,58;8,194;450,58;54,99
BOLO CONF MASSA BRANCA C/LIMAO ARTE;10;212,58;0,744;40,91;54,99
BOLO CONF MASSA BRANCA C/MARACUJA;10;212,58;1,324;72,81;54,99
BOLO CONF MASSA BRANCA C/MORANGO;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/AMENDOIM;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/BOMBOM ARTE;10;212,58;2,536;139,45;54,99
BOLO CONF MASSA CHOC C/BRIGADEIRO;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/CHOCOLATE;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/CHOCOLATE E;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/LEITINHO ARTE;10;212,58;1,978;108,77;54,99
BOLO CONF MASSA CHOC C/LIMAO ARTE;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/MORANGO;10;212,58;3,96;217,75;54,99
BOLO CONF MASSA CHOC PRESTIGIO ARTE;10;212,58;0;0;54,99
BOLO DE FUBA ARTE PAO KG;10;127,55;5,916;142,47;24,99
BOLO DE IOGURTE ARTE PAO KG;10;127,55;0;0;24,99
BOLO DE MILHO ESPIGA ARTE PAO KG;10;127,55;8,686;304,01;34,99
BOLO FURO ABACAXI ARTE PAO KG;30;382,64;0;0;24,99
BOLO FURO AIPIM ARTE PAO KG;30;382,64;0;0;24,99
BOLO FURO BANANA ARTE PAO KG;30;382,64;0;0;24,99
BOLO FURO BAUNILHA ARTE PAO KG;30;382,64;0;0;24,99
BOLO FURO BROA DE FUBA ARTE PAO KG;20;255,1;0;0;24,99
BOLO FURO CACAROLA ARTE PAO KG;40;510,19;143,242;3.317,44;24,99
BOLO FURO CENOURA ARTE PAO KG;30;382,64;1,442;36,05;24,99
BOLO FURO CHOCOLATE ARTE PAO KG;30;382,64;23,815;525,67;24,99
BOLO FURO COCO ARTE PAO KG;20;255,1;8,57;172,83;24,99
BOLO FURO FORMIGUEIRO ARTE PAO KG;10;127,55;11,722;277,35;24,99
BOLO FURO LARANJA ARTE PAO KG;10,53;138,14;24,182;535,52;24,99
BOLO FURO LEITE CONDENSADO ARTE PAO;10;127,55;0,392;9,8;24,99
BOLO FURO LIMAO ARTE PAO KG;15;191,32;1,526;38,14;24,99
BOLO FURO MESCLADO ARTE PAO KG;30;382,64;0,628;12,55;24,99
BOLO FURO MILHO ARTE PAO KG;20;255,1;0;0;24,99
BOLO FURO NEUTRO ARTE PAO KG;30;382,64;0;0;24,99
BOLO INDIANO ARTE PAO KG;10;159,44;0,136;5,44;39,99
BOLO INDIANO RECHEADO ARTE PAO KG;10;159,44;0;0;39,99
BOLO LIMAO C/MOUSSE ARTE PAO KG;30;510,19;5,794;231,66;39,99
BOLO NEGA MALUCA  ARTE PAO KG;10;212,58;1,93;96,3;49,9
BOLO NOZES ARTE PAO KG;10;265,72;0;0;54,99
BOLO PE DE MOLEQUE ARTE PAO KG;10;127,55;0;0;39,9
BOLO SALGADA DE ATUM ARTE PAO KG;10;170,06;0;0;34,9
BOLO SALGADO DE FRANGO ARTE PAO KG;50;637,74;45,367;1.403,06;34,9
BOLO SALGADO DE SALSICHA ARTE PAO KG;30;382,64;0;0;34,9
BREVIDADE ARTE PAO KG;10;127,55;3,49;122,15;34,99
BROA CAXAMBU ARTE PAO KG;0;0;4,758;128,02;26,9
BRONHA ARTE PAO KG;10;127,55;0;0;34,99
CAKE MULTI CEREAIS ARTE PAO KG;10;159,44;1,229;61,32;49,9
CAKE RED VELVET ARTE PAO KG;10;159,44;1,022;50,99;49,9
COOKIES  CHOCOLATE ARTE PAO KG;10;127,55;0;0;29,99
COOKIES  TADICIONAL ARTE PAO KG;10;127,55;3,776;113,28;29,99
CROISSANT CALABRESA ARTE PAO KG;40;1.433,21;0;0;49,99
CROISSANT CHOCOLATE ARTE PAO KG;40;850,32;0;0;49,99
CROISSANT FRANGO E REQUEIJAO ARTE;10;265,72;0;0;49,99
