Descrição;Qtd Entr;Vlr Entr;Qtd Saídas;Vlr Saídas;R$ Atual
BAURU DE FRANGO ARTE PAO KG;10,0;212,58;0,0;0;42,99
BAURU DE PRESUNTO/QUEIJO ARTE E;10,0;159,44;0,0;0;42,99
BISC CASEIRO COCO ARTE PAO KG;10,0;127,55;0,0;0;19,99
BISC CASEIRO LIMAO ARTE PAO KG;10,0;127,55;0,0;0;19,99
BISC DE OLHO DE BOI ARTE PAO KG;10,0;127,55;0,0;0;19,99
BISC PETIT FOUR ARTE PAO KG;10,0;159,44;0,0;0;29,99
BISNAGUINHA ARTE PAO KG;10,0;159,44;0,0;0;42,99
BOLO AMENDOIM ARTE PAO KG;10,0;127,55;0,0;0;41,49
BOLO BANANA ARTE PAO KG;10,0;127,55;0,0;0;24,99
BOLO BANANA C/CALDA ARTE PAO KG;10,0;127,55;0,0;0;29,99
BOLO CENOURA ARTE PAO KG;10,0;127,55;0,0;0;29,99
BOLO CENOURA C/COBERTURA CHOC ARTE;10,0;127,55;0,0;0;32,99
BOLO CHOCOLATE C/ COBERTURA ARTE;15,0;191,32;0,0;0;39,99
BOLO CHOCOLATE C/BOMBOM ARTE PAO;10,0;127,55;0,0;0;29,99
BOLO CHOCOLATE C/LEITINHO ARTE PAO;10,0;127,55;0,0;0;29,99
BOLO CHOCOLATE RECHEADO ARTE PAO;10,0;159,44;0,0;0;39,99
BOLO CONF M.BRANCA BEIJINHO ARTE PAO;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/ CHOC E AVELA;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/AMENDOIM ARTE;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/BOMBOM ARTE;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/BRIGADEIRO;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/CHOCOLATE;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/LEITINHO ARTE;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/LIMAO ARTE PAO;10,0;212,58;0,0;0;39,99
BOLO CONF M.BRANCA C/MARACUJA ARTE;10,0;212,58;0,0;0;39,99
