Descrição;Qtd Entr;Vlr Entr;Qtd Saídas;Vlr Saídas;R$ Atual
AMENDOIM ACUCARADO ARTE PAO KG;0;0;7,219;288,03;39,9
BAGUETE FRANCESA ARTE PAO KG;10;127,55;107,541;2.677,37;24,9
BAURU  FRANGO ARTE PAO KG;7;148,81;27,474;1.178,69;42,9
BAURU PRESUNTO ARTE PAO KG;7;111,6;32,208;1.381,76;42,9
BISCOITO CASEIRO COCO ARTE PAO KG;5;63,77;5,539;165,63;29,9
BISCOITO CASEIRO LIMAO ARTE PAO KG;5;63,77;0;0;29,9
BISCOITO OLHO DE BOI ARTE PAO KG;5;63,77;0;0;29,9
BISCOITO PETIT FOUR ARTE PAO GEZ KG;4;63,77;2,182;71,81;32,9
BISNAGUINHA ARTE PAO KG;10;159,44;19,232;671,33;34,9
BOLO ABACAXI ARTE PAO KG;10;127,55;4,41;153,9;34,9
BOLO AIPIM ARTE PAO KG;10;127,55;21,636;757,26;34,99
BOLO AMENDOIM ARTE PAO KG;5;63,77;0;0;34,9
BOLO ARTE PAO  FRUTAS VERMELHAS KG;0;0;1,61;64,24;39,9
BOLO BANANA ARTE PAO KG;10;127,55;10,278;358,68;34,9
BOLO BANANA C/CALDA  ARTE PAO KG;10;127,55;10,598;369,83;34,9
BOLO BROA MINEIRA ARTE PAO KG;5;63,77;0;0;24,99
BOLO CENOURA  ARTE PAO KG;10;127,55;0;0;24,99
BOLO CENOURA COM CHOCOLATE ARTE;0;0;38,811;1.276,90;32,9
BOLO CHOCOLATE ARTE PAO KG;10;127,55;0,376;9,4;24,99
BOLO CHOCOLATE C/BOMBOM ARTE PAO;25;318,87;1,63;53,62;32,9
BOLO CHOCOLATE C/COBERTURA  ARTE;10;127,55;46,766;1.538,65;32,9
BOLO CHOCOLATE C/COCO ARTE PAO KG;10;127,55;0;0;24,99
BOLO CHOCOLATE C/LEITE CONDENSADO;10;127,55;0;0;24,99
BOLO CHOCOLATE C/LEITINHO ARTE PAO;10;127,55;0;0;32,9
BOLO CHOCOLATE RECHEADO ARTE PAO;10;159,44;0;0;32,9
BOLO CHOCOLATE/PUDIM  ARTE PAO KG;10;159,44;0;0;39,9
BOLO CONF MASSA BRANCA C/AMENDOIM;5;106,29;0;0;54,99
BOLO CONF MASSA BRANCA C/BEIJINHO;5;106,29;2,338;128,56;54,99
BOLO CONF MASSA BRANCA C/BOMBOM;5;106,29;0,882;48,5;54,99
BOLO CONF MASSA BRANCA C/BRIGADEIRO;5;106,29;0;0;54,99
BOLO CONF MASSA BRANCA C/CHOC E;5;106,29;0;0;54,99
BOLO CONF MASSA BRANCA C/CHOCOLATE;5;106,29;1,456;80,06;54,99
BOLO CONF MASSA BRANCA C/LEITINHO;5;106,29;0,748;41,13;54,99
BOLO CONF MASSA BRANCA C/LIMAO ARTE;5;106,29;12,204;671,05;54,99
BOLO CONF MASSA BRANCA C/MARACUJA;5;106,29;0;0;54,99
BOLO CONF MASSA BRANCA C/MORANGO;5;106,29;3,942;216,76;54,99
BOLO CONF MASSA CHOC C/AMENDOIM;5;106,29;0;0;54,99
BOLO CONF MASSA CHOC C/BOMBOM ARTE;5;106,29;5,336;293,41;54,99
BOLO CONF MASSA CHOC C/BRIGADEIRO;5;106,29;0;0;54,99
BOLO CONF MASSA CHOC C/CHOCOLATE;10;212,58;0,792;43,55;54,99
BOLO CONF MASSA CHOC C/CHOCOLATE E;5;106,29;1,474;81,05;54,99
BOLO CONF MASSA CHOC C/LEITINHO ARTE;10;212,58;1,982;108,98;54,99
BOLO CONF MASSA CHOC C/LIMAO ARTE;10;212,58;0;0;54,99
BOLO CONF MASSA CHOC C/MORANGO;10;212,58;4,836;265,92;54,99
BOLO CONF MASSA CHOC PRESTIGIO ARTE;10;212,58;0;0;54,99
BOLO DE FUBA ARTE PAO KG;10;127,55;3,46;82,2;24,99
BOLO DE IOGURTE ARTE PAO KG;4;51,02;0;0;24,99
BOLO DE MILHO ESPIGA ARTE PAO KG;10;127,55;16,594;580,79;34,99
BOLO FURO ABACAXI ARTE PAO KG;10;127,55;0;0;24,99
BOLO FURO AIPIM ARTE PAO KG;10;127,55;0;0;24,99
BOLO FURO BANANA ARTE PAO KG;10;127,55;0;0;24,99
BOLO FURO BAUNILHA ARTE PAO KG;10;127,55;0;0;24,99
BOLO FURO BROA DE FUBA ARTE PAO KG;10;127,55;11,658;282,27;24,99
BOLO FURO CACAROLA ARTE PAO KG;20;255,1;157,464;3.651,77;24,99
BOLO FURO CENOURA ARTE PAO KG;10;127,55;5,28;118,93;24,99
BOLO FURO CHOCOLATE ARTE PAO KG;15;191,32;40,092;932,15;24,99
BOLO FURO COCO ARTE PAO KG;10;127,55;8,338;183,62;24,99
BOLO FURO FORMIGUEIRO ARTE PAO KG;10;127,55;13,524;285,18;24,99
BOLO FURO LARANJA ARTE PAO KG;10;127,55;27,38;648,9;24,99
BOLO FURO LEITE CONDENSADO ARTE PAO;10;127,55;0;0;24,99
BOLO FURO LIMAO ARTE PAO KG;15;191,32;0;0;24,99
BOLO FURO MESCLADO ARTE PAO KG;10;127,55;0,416;10,4;24,99
BOLO FURO MILHO ARTE PAO KG;10;127,55;0;0;24,99
BOLO FURO NEUTRO ARTE PAO KG;10;127,55;0;0;24,99
BOLO INDIANO ARTE PAO KG;8;127,55;0,332;13,28;39,99
BOLO INDIANO RECHEADO ARTE PAO KG;10;159,44;0,518;20,72;39,99
BOLO LIMAO C/MOUSSE ARTE PAO KG;10;170,06;11,532;461,11;39,99
BOLO NEGA MALUCA  ARTE PAO KG;10;212,58;2,259;112,7;49,9
BOLO NOZES ARTE PAO KG;10;265,72;0;0;54,99
BOLO PE DE MOLEQUE ARTE PAO KG;10;127,55;0;0;39,9
BOLO SALGADA DE ATUM ARTE PAO KG;4;68,03;0;0;34,9
BOLO SALGADO DE FRANGO ARTE PAO KG;20;255,1;32,138;1.103,52;34,9
BOLO SALGADO DE SALSICHA ARTE PAO KG;8;102,04;0;0;34,9
BREVIDADE ARTE PAO KG;10;127,55;5,678;198,73;34,99
BROA CAXAMBU ARTE PAO KG;0;0;4,634;124,68;26,9
BRONHA ARTE PAO KG;10;127,55;0;0;34,99
CAKE MULTI CEREAIS ARTE PAO KG;10;159,44;1,426;71,15;49,9
CAKE RED VELVET ARTE PAO KG;10;159,44;2,816;140,51;49,9
COOKIES  CHOCOLATE ARTE PAO KG;10;127,55;1,816;54,48;29,99
COOKIES  TADICIONAL ARTE PAO KG;10;127,55;6,498;194,93;29,99
CROISSANT CALABRESA ARTE PAO KG;10;358,3;0;0;49,99
CROISSANT CHOCOLATE ARTE PAO KG;10;212,58;0;0;49,99
CROISSANT FRANGO E REQUEIJAO ARTE;10;265,72;0;0;49,99
CROISSANT PRESUNTO E  QUEIJO ARTE;10;265,72;0;0;49,99
CROISSANT QUEIJO ARTE PAO KG;10;265,72;0;0;49,99
CROISSANT RICOTA ARTE PAO KG;10;212,58;0;0;49,99
CUSCUZ ARTE PAO KG;10;85,03;1,326;43,64;32,9
DONUTS ARTE PAO KG;0;0;1,602;47,88;29,9
DONUTS BEIJINHO ARTE PAO KG;10;85,03;0;0;29,9
EMPADA  FRANGO C/REQUEIJAO ARTE PAO;20,12;260,62;55,522;2.553,21;45,99
EMPADAO  FRANGO C/REQUEIJAO ARTE;30;382,64;4,318;198,61;45,99
