Descrição;Qtd Entr;Vlr Entr;Qtd Saídas;Vlr Saídas;R$ Atual
AMENDOIM ACUCARADO ARTE PAO KG;0,000;0,00;0,906;36,15;39,90
BAGUETE FRANCESA ARTE PAO KG;10,000;127,55;43,906;1.093,07;24,90
BAGUETE FRANCESA C/OREGANO  ARTE;0,000;0,00;4,124;102,68;24,90
BAURU  FRANGO ARTE PAO KG;10,166;219,70;15,262;654,72;42,90
BAURU PRESUNTO ARTE PAO KG;10,000;159,44;13,233;567,69;42,90
BISCOITO CASEIRO COCO ARTE PAO KG;10,000;127,55;4,272;127,74;29,90
BISCOITO CASEIRO LIMAO ARTE PAO KG;10,000;127,55;0,000;0,00;29,90
BISCOITO OLHO DE BOI ARTE PAO KG;10,000;127,55;0,000;0,00;29,90
BISCOITO PETIT FOUR ARTE PAO GEZ KG;10,000;159,44;1,974;64,94;32,90
BISNAGUINHA ARTE PAO KG;10,000;159,44;8,689;303,29;34,90
BOLO ABACAXI ARTE PAO KG;10,000;127,55;4,926;171,94;34,90
BOLO AIPIM ARTE PAO KG;10,182;133,54;6,848;228,71;34,99
BOLO AMENDOIM ARTE PAO KG;10,000;127,55;0,000;0,00;34,90
BOLO BANANA ARTE PAO KG;10,000;127,55;6,256;218,30;34,90
BOLO BANANA C/CALDA  ARTE PAO KG;10,000;127,55;5,806;202,63;34,90
BOLO BROA MINEIRA ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO CENOURA  ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO CENOURA COM CHOCOLATE ARTE;0,000;0,00;25,009;822,83;32,90
BOLO CHOCOLATE ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO CHOCOLATE C/BOMBOM ARTE PAO;25,000;318,87;3,508;115,42;32,90
BOLO CHOCOLATE C/COBERTURA  ARTE;10,158;132,75;18,132;596,54;32,90
BOLO CHOCOLATE C/COCO ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO CHOCOLATE C/LEITE CONDENSADO;10,000;127,55;0,000;0,00;24,99
BOLO CHOCOLATE C/LEITINHO ARTE PAO;10,000;127,55;0,000;0,00;32,90
BOLO CHOCOLATE RECHEADO ARTE PAO;10,000;159,44;0,000;0,00;32,90
BOLO CHOCOLATE/PUDIM  ARTE PAO KG;10,000;159,44;0,000;0,00;39,90
BOLO CONF MASSA BRANCA C/AMENDOIM;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/BEIJINHO;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/BOMBOM;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/BRIGADEIRO;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/CHOC E;10,000;212,58;1,940;106,68;54,99
BOLO CONF MASSA BRANCA C/CHOCOLATE;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/LEITINHO;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/LIMAO ARTE;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA BRANCA C/MARACUJA;10,000;212,58;0,714;39,26;54,99
BOLO CONF MASSA BRANCA C/MORANGO;10,000;212,58;2,020;111,07;54,99
BOLO CONF MASSA CHOC C/AMENDOIM;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA CHOC C/BOMBOM ARTE;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA CHOC C/BRIGADEIRO;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA CHOC C/CHOCOLATE;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA CHOC C/CHOCOLATE E;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA CHOC C/LEITINHO ARTE;10,000;212,58;3,534;194,32;54,99
BOLO CONF MASSA CHOC C/LIMAO ARTE;10,000;212,58;0,000;0,00;54,99
BOLO CONF MASSA CHOC C/MORANGO;10,000;212,58;2,696;148,24;54,99
BOLO CONF MASSA CHOC PRESTIGIO ARTE;10,000;212,58;0,000;0,00;54,99
BOLO DE FUBA ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO DE IOGURTE ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO DE MILHO ESPIGA ARTE PAO KG;10,000;127,55;4,172;139,81;34,99
BOLO FURO ABACAXI ARTE PAO KG;10,000;127,55;0,330;6,60;24,99
BOLO FURO AIPIM ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO FURO BANANA ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO FURO BAUNILHA ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO FURO BROA DE FUBA ARTE PAO KG;10,000;127,55;3,618;90,45;24,99
BOLO FURO CACAROLA ARTE PAO KG;10,358;136,50;94,892;2.148,13;24,99
BOLO FURO CENOURA ARTE PAO KG;10,000;127,55;4,470;88,21;24,99
BOLO FURO CHOCOLATE ARTE PAO KG;15,000;191,32;20,732;440,96;24,99
BOLO FURO COCO ARTE PAO KG;10,000;127,55;11,228;256,07;24,99
BOLO FURO FORMIGUEIRO ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO FURO LARANJA ARTE PAO KG;10,000;127,55;17,798;401,50;24,99
BOLO FURO LEITE CONDENSADO ARTE PAO;10,000;127,55;0,000;0,00;24,99
BOLO FURO LIMAO ARTE PAO KG;15,000;191,32;0,000;0,00;24,99
BOLO FURO MESCLADO ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO FURO MILHO ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO FURO NEUTRO ARTE PAO KG;10,000;127,55;0,000;0,00;24,99
BOLO INDIANO ARTE PAO KG;10,000;159,44;0,000;0,00;39,99
BOLO INDIANO RECHEADO ARTE PAO KG;10,000;159,44;0,000;0,00;39,99
BOLO LIMAO C/MOUSSE ARTE PAO KG;10,000;170,06;4,338;173,46;39,99
BOLO NEGA MALUCA  ARTE PAO KG;10,000;212,58;4,338;216,45;49,90
BOLO NOZES ARTE PAO KG;10,000;265,72;0,000;0,00;54,99
BOLO PE DE MOLEQUE ARTE PAO KG;10,000;127,55;0,000;0,00;39,90
BOLO SALGADA DE ATUM ARTE PAO KG;10,000;170,06;0,000;0,00;34,90
BOLO SALGADO DE FRANGO ARTE PAO KG;20,000;255,10;47,816;1.376,98;34,90
BOLO SALGADO DE SALSICHA ARTE PAO KG;10,000;127,55;0,000;0,00;34,90
BREVIDADE ARTE PAO KG;10,000;127,55;3,768;131,88;34,99
BROA CAXAMBU ARTE PAO KG;0,000;0,00;1,668;44,88;26,90
BRONHA ARTE PAO KG;10,000;127,55;0,000;0,00;34,99
CAKE MULTI CEREAIS ARTE PAO KG;10,000;159,44;0,794;39,62;49,90
CAKE RED VELVET ARTE PAO KG;10,000;159,44;0,000;0,00;49,90
COOKIES  CHOCOLATE ARTE PAO KG;10,000;127,55;1,122;33,66;29,99
COOKIES  TADICIONAL ARTE PAO KG;10,000;127,55;5,376;161,28;29,99
CROISSANT CALABRESA ARTE PAO KG;10,000;358,30;0,000;0,00;49,99
